Date,tmax,tmin,prcp
20-09-2009,70,54,0.32
21-09-2009,69,58,0
22-09-2009,73,57,0.23
23-09-2009,76,63,0
24-09-2009,73,60,0
25-09-2009,70,62,0.25
26-09-2009,70,59,0.04
27-09-2009,74,55,0.69
28-09-2009,59,48,0.04
29-09-2009,62,47,0
30-09-2009,54,40,0
01-10-2009,58,43,0.89
02-10-2009,57,46,0.13
03-10-2009,57,46,0
04-10-2009,57,48,0
05-10-2009,59,49,0
06-10-2009,59,48,0.15
07-10-2009,59,47,0
08-10-2009,53,47,0.06
09-10-2009,49,39,0.15
10-10-2009,47,32,0
11-10-2009,45,29,0
12-10-2009,49,39,0
13-10-2009,47,33,0
